dataset,domain,gcm_institution,gcm,experiment,ensemble,rcm_institution,rcm,rcm_version,member_id_CICA,cdbaisimip,cdbals,cd,cddbaisimip,cdd,clt,dtrbaisimip,dtrbals,dtr,evspsbl,fdbaisimip,fdbals,fd,hdbaisimip,hdbals,hd,huss,pet,r01baisimip,r01,r10baisimip,r10,r20baisimip,r20,r,rlds,rsds,rx1day,rx5day,sdiibaisimip,sdii,sfcwind,spi6,spei6,t,tn,tnn,trbaisimip,trbals,tr,tx35baisimip,tx35bals,tx35,tx40baisimip,tx40bals,tx40,tx,txx
AFR-22_NCC_NorESM1-M_historical_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,AFR-22,NCC,NorESM1-M,historical,r1i1p1,ICTP,RegCM4-7,v0,NCC_NorESM1-M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFR-22_NCC_NorESM1-M_rcp26_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,AFR-22,NCC,NorESM1-M,rcp26,r1i1p1,ICTP,RegCM4-7,v0,NCC_NorESM1-M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFR-22_NCC_NorESM1-M_rcp85_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,AFR-22,NCC,NorESM1-M,rcp85,r1i1p1,ICTP,RegCM4-7,v0,NCC_NorESM1-M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS-22_NCC_NorESM1-M_historical_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,AUS-22,NCC,NorESM1-M,historical,r1i1p1,ICTP,RegCM4-7,v0,NCC_NorESM1-M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS-22_NCC_NorESM1-M_rcp26_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,AUS-22,NCC,NorESM1-M,rcp26,r1i1p1,ICTP,RegCM4-7,v0,NCC_NorESM1-M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS-22_NCC_NorESM1-M_rcp85_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,AUS-22,NCC,NorESM1-M,rcp85,r1i1p1,ICTP,RegCM4-7,v0,NCC_NorESM1-M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAM-22_NOAA-GFDL_GFDL-ESM2M_historical_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,CAM-22,NOAA-GFDL,GFDL-ESM2M,historical,r1i1p1,ICTP,RegCM4-7,v0,NOAA-GFDL_GFDL-ESM2M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
CAM-22_NOAA-GFDL_GFDL-ESM2M_rcp26_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,CAM-22,NOAA-GFDL,GFDL-ESM2M,rcp26,r1i1p1,ICTP,RegCM4-7,v0,NOAA-GFDL_GFDL-ESM2M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAM-22_NOAA-GFDL_GFDL-ESM2M_rcp85_r1i1p1_ICTP_RegCM4-7_ICTP-RegCM4-7-v0,CAM-22,NOAA-GFDL,GFDL-ESM2M,rcp85,r1i1p1,ICTP,RegCM4-7,v0,NOAA-GFDL_GFDL-ESM2M_RegCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EAS-22_NCC_NorESM1-M_historical_r1i1p1_ICTP_RegCM4-4_ICTP-RegCM4-4-v0,EAS-22,NCC,NorESM1-M,historical,r1i1p1,ICTP,RegCM4-4,v0,NCC_NorESM1-M_RegCM,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
